"id","name","type","lead_source","amount","close_date","stage","probability","expected_revenue","next_step","order_number","description","competitor","delivery_installation_status","reason_for_close","lead_source_description","main_competitor","tracking_number","current_generator","delivery_installation_comments","is_private","product_interest","external_id","contact_id"
3,Stevens Ltd,Partnership,Website Inquiry,40874.69,2024-10-13,Closed Won,86.61,96206.48,Debate before task same catch hospital. Available subject evening federal. Role pull wear keep charge consumer memory.,ed266020-45d5-47af-aa47-bbad2e958a4c,Initial Inquiry,Competitor A,Completed,To will despite minute memory degree office. Guess shake various million loss. None decide a dream field form young program.,Total its hundred day explain per whatever glass. Pass process audience machine close. Across finish kid dog require together develop cause. Fight none sit alone.,Hamilton Inc,fbd983c1-d9ae-42a0-aad5-ea2b1c8fa4f8,Olivia Lawson,"System behind when during keep.
Clear hot product way share middle. How difference deal threat now money between. House candidate factor what senior hear.",true,Service B,"9e85e3ab-e181-4834-bcff-7e5d86b6047e",1
4,"Alexander, Walker and Gonzalez",New Business,Email Campaign,74077.48,2024-09-18,Closed Lost,61.60,20643.55,Term put artist marriage oil especially. Along if style seek. Weight they opportunity less federal two peace political.,f19db8a2-15da-4ba4-98b9-02a52bd4c7e6,Meeting Scheduled,No Competition,Completed,"Born environmental several single thing base. Wish be cultural value. Word major once method general past.
Agent decision require happy way impact director. Meeting animal medical follow.","Mission usually door. Area surface under book scene often adult. Clearly cost data view prepare week represent.
Home without action finally decision. Research expect wish get.","Buck, Jordan and Dunn","07013e2d-1197-45e1-893c-00ed3c781884",Elizabeth Wise,"Four teach view. Treat player page.
Store common rather present three career local. Clear development put though.",true,Service B,"1962b3a1-34b5-4e42-b0d4-390198bc677a",2
5,Berry-Chan,Existing Business,Trade Show,35130.97,2024-02-08,Qualification,50.47,75068.59,After lose sister ready analysis treatment investment. Religious now bed notice sure billion. Staff compare conference memory until travel together.,"9273fa65-8127-4221-a074-b0b5bdf24edf",Meeting Scheduled,No Competition,Pending,Course difficult hospital ten nice. Business put manage source major mind population.,"Peace I remain PM leave size. Whatever report behind. Area because current work step either.
On sea staff send officer without. Movement he down move store drive.",Miller-Taylor,"97873d4b-6f96-4478-8b7e-bad4c36e55db",Michael Wallace,"Network laugh letter billion. At agreement analysis project town information table growth.
Spring sound thought. Collection million defense ask.",false,Service A,"65d5f043-b9db-4cf5-81a2-29343e977825",3
6,"Smith, Ritter and Wood",Referral,Website Inquiry,74212.36,2024-10-19,Qualification,95.03,66968.52,However under avoid task either year. Quality apply especially. Heavy laugh finish weight pressure pressure response remain.,"43793103-3985-4896-90b2-25c57af305e8",Contract Sent,No Competition,In Progress,"Early local network gas. Weight owner pattern above sea simply. Employee town paper task.
Close between low. Effect memory rather method hour decade meeting. Mention hotel section.",Magazine accept about state member walk. None letter choice kid door organization. Remain left down cold. Card difficult person early.,Castaneda Group,fcaf1b5e-8be3-457d-b49b-0cdb8076191a,Sara Gibson,"Peace near collection forget. Dog police show serve apply daughter. Service change executive summer region.
Two play note man. Keep site happy wait something. Trial act attack address direction.",false,Service A,"210ecdd5-4054-4194-9da3-fa753b9c5fec",4
7,Robertson-Garrison,Existing Business,Cold Call,44017.50,2023-12-18,Closed Lost,68.11,60144.89,"Lay mother social information office senior mind state. Sister they season their range behind off modern.
Already threat office return. Despite world wide smile. It father baby instead.","0395d7bf-eb4e-41a9-9d35-7920810fe24b",Initial Inquiry,Competitor B,Completed,"Happen more tend fast west should walk. Success number think general section. Moment beyond when beautiful foreign account popular.
Billion carry out. Safe together relate place.","Detail born picture central glass enter. Event much blood science game.
Key than painting group action marriage. Compare center know fund.
Such piece real. Safe indicate computer bank sound last.",Hendricks-Davis,a9b2077e-f2ec-4087-97a3-6f65223591a6,Victoria Young,"Cell record director management follow event. Follow issue statement beyond.
Them growth rule leave least collection suggest. Seven technology human.",true,Service A,"872b720c-7524-45fe-b898-f81afa984ccc",5
8,Lee-Thompson,Existing Business,Website Inquiry,38601.39,2024-10-15,Closed Won,17.54,15257.09,"Owner traditional return suggest drive listen entire professional. Activity third rich natural head sister my.
Check turn red apply.",a2bc3e5d-313f-466a-afc8-30a30ee4c97d,Meeting Scheduled,Competitor A,Completed,Manager street resource want heavy heart involve. Newspaper forget tax deal offer firm hundred. Administration will old by station fact life.,"Today move mother store.
Production second own share end student. Past Republican believe quickly care. Indicate evidence true national read.","Powell, Reynolds and Green","2267c627-9fed-49e3-b480-47f9a33e34bd",Jennifer Rivera,"Individual daughter give race yourself bar. Collection only red hope. Policy soon couple tax whom store.
Near human successful. Central interview create area. Save decade vote rather customer open.",false,Product C,bd5e2112-2151-4a96-ad9c-f886824a06d3,6
9,Brown Inc,Existing Business,Trade Show,93092.86,2024-04-13,Proposal,83.19,36247.74,"He dark few per energy. Level western page cell.
Wish read nation rock mind total.",bf943dde-183b-419e-8043-94a6d16723c3,Initial Inquiry,Competitor B,Completed,"History early recognize ask.
Body allow almost. Bag star hand seem purpose sea sell section.","Type tough number black evidence. Officer small light environment me health under.
State group first blood meet third. In black there rest financial all with.",Baker-Evans,"580b3b1a-4dc2-46b4-9c7d-bd272bb5d7c1",Kevin Ramirez,"Something store degree deep media one authority. These anything full that board. Get hold send no seek.
Your scientist forward various eat wide. Civil blue probably.",true,Product B,"27b5effd-ba58-4e33-a225-4cf10b30b834",7
10,Tucker-Keith,Referral,Social Media,61810.78,2024-04-25,Closed Lost,95.00,43520.84,"Face bed human yourself author. Tonight our hope move wonder light. Successful pressure debate woman.
Happy offer hospital thing kitchen together.",fdf96f55-3ca0-4f41-a064-e4a1144bab79,Contract Sent,Competitor A,Completed,Deep in long threat. Charge Mrs rather red should. Still sea paper above.,Friend action piece past mention season. Prove situation oil process effort back realize. Body each must accept.,Wise Group,b0ba8c63-e6c1-4ec0-b020-240cb72d8073,Jeffery Webster,Task decade purpose federal impact church. Story watch seek new against. Late less perform performance more point particular.,false,Product C,e7d9e799-cdb4-4ebd-be4e-0d233cf981bb,8
11,"Singleton, Foster and Thomas",New Business,Email Campaign,93939.77,2024-03-16,Qualification,68.65,99779.42,"Public hand visit head listen.
Me remain plant day guy itself source. Camera team record or executive. End center specific have.",a57f1ae2-0f4c-4fd9-a9e6-e7832332423c,Demo Presented,No Competition,In Progress,"Late can build remember maybe first however. Southern key improve than interesting card sea.
Bit stand pull only race above program most. Kind business local read.",Idea time claim no law large middle. Western allow continue think.,Fox Group,e7e49458-d16a-4cc2-9da8-e39f7d064d8e,Matthew Jackson,"Their cause manager affect ability new nice. Happy thought also behavior I indeed day.
Guy born stage way sea authority girl. Take behavior report.",true,Service B,e5c5b175-5fb7-49bc-b196-e3145b7a8975,9
12,Green-Barker,Partnership,Online Form,80411.44,2024-04-24,Proposal,40.48,55113.54,Determine agreement include next man expect catch discover. Must finish night. Key age everybody we huge story leader.,a574143a-e701-4330-b51e-b95e2d5fe682,Contract Sent,Competitor A,Delayed,"Much bill there all reason base citizen either.
Speech sound stage do sister. Detail high system eight public.","Man stuff writer ability structure very star before. It maintain it color cell.
Task industry husband center no old today. Beyond common everyone Mrs others.","Curtis, Rios and Alvarez","824a8f49-8589-45e2-b2fb-6775d530c5f8",Kimberly Miller,"Upon dream wide. Congress look food hour through might issue.
One interesting consider plan cause. Act indicate whole mouth system just see.",true,Product B,"8b75fc1d-9c1d-477a-928f-117986a5775a",10
